name,category 1,category 2,category 3,cuisine 1,cusine 2,address,phone,map
Bonita,Restaurant,,,Mexican,,"338 Bedford Avenue, Brooklyn, NY 11211",718.384.9500,"http://maps.google.com/maps?f=q&hl=en&q=338+Bedford+Avenue&sll=40.716992,-73.958819&sspn=0.023712,0.040169&ie=UTF8&z=15&om=1&iwloc=A"
Boulevard Tavern,Bar,,,,,"579 Meeker Avenue, Brooklyn, NY 11222",718.389.3252,"http://www.google.com/maps?f=q&hl=en&q=579+Meeker+Ave.,+Brooklyn,+NY+11222&sll=40.715935,-73.961927&sspn=0.010994,0.019913&ie=UTF8&ll=40.720656,-73.948739&spn=0.010994,0.019913&z=16&iwloc=addr&om=1"
Bozu,Restaurant,,,Japanese,,"296 Grand Street, Brooklyn,NY 11211",718.384.7770 ,"http://www.google.com/maps?f=q&hl=en&geocode=&q=296+Grand+St,+Brooklyn,+NY+11211,+USA&sll=40.712964,-73.957429&sspn=0.011353,0.020084&layer=tc&ie=UTF8&ll=40.712964,-73.957429&spn=0.011353,0.020084&z=16&iwloc=addr&om=1&cbll=40.712964,-73.957429"
Brick Oven Gallery,Restaurant,,,Italian,Pizza,"33 Havermayer Street, Brooklyn,NY 11211",917.627.6786,"http://maps.google.com/maps?q=33+Havemeyer+St,+Brooklyn,+NY+11211,+USA&sa=X&oi=map&ct=title"
Bridge Vineyards Urban Winery,Restaurant,Bar,,Italian,Tapas,"20 Broadway, Brooklyn, NY 11211",718.384.2800,"http://maps.google.com/maps?q=20+Broadway,+Brooklyn,+NY+11211,+USA&sa=X&oi=map&ct=title"
Brooklyn Ale House,Bar,,,,,"103 Berry Street, Brooklyn, NY 11211",718.302.9811,"http://maps.google.com/maps?f=q&hl=en&q=103+Berry+St,+Brooklyn,+NY&sll=42.228517,-95.712891&sspn=43.736833,78.662109&layer=&ie=UTF8&z=16&om=1&iwloc=addr"
Brooklyn Brewery,Bar,,,,,"79 North 11th Street, Brooklyn, NY 11211",718.486.7422,"http://www.google.com/maps?hl=en&safe=off&client=firefox-a&q=brewery&near=Brooklyn,+NY&cid=0,0,3373003360404343071&f=d&daddr=79+N+11th+St,+Brooklyn,+NY+11211,+USA&ie=UTF8&z=16&ll=40.721678,-73.958014&spn=0.010831,0.020084&om=1&iwloc=A"
Brooklyn Label,Restaurant,,,American,Diner,"180 Franklin Street, Brooklyn, NY 11222",718.389.2806,"http://maps.google.com/maps?f=q&hl=en&q=+180+Franklin+St,+++Brooklyn+11222&sll=37.0625,-95.677068&sspn=46.764446,78.662109&layer=&ie=UTF8&z=16&ll=40.731405,-73.957837&spn=0.010992,0.019205&om=1&iwloc=addr"
Buffalo Cantina,Restaurant,,,Mexican,,"149 Havermayer Street, Brooklyn, NY 11211",718.218.7788 ,"http://www.google.com/maps?hl=en&safe=off&q=Buffalo+Cantina&near=Brooklyn,+NY&cd=1&ie=UTF8&ll=40.709987,-73.982792&spn=0.045673,0.080338&z=14&iwloc=A&om=1"
Bushwick Country Club,Bar,,,,,"618 Grand Street Brooklyn, NY 11211 ",718.388.2114,"http://www.google.com/maps?q=618+Grand+St,+Brooklyn,+New+York+11211,+USA&ie=UTF8&z=16&om=1&iwloc=addr"
Cafe Capri,Restaurant,,,Italian,Coffee,"427 Graham Avenue, Brooklyn, NY 11211",n/a,"http://www.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=427+Graham+Avenue,+Brooklyn,+NY+11211&sll=40.733828,-73.954661&sspn=0.007707,0.019312&ie=UTF8&ll=40.718851,-73.944962&spn=0.007709,0.019312&z=16&iwloc=addr"
Cafecito Bogota,Restaurant,,,Columbian,Tapas,"1015 Manhattan Avenue, Brooklyn, NY 11222",718.569.0077,"http://maps.google.com/maps?q=1015+Manhattan+Ave&ie=UTF8&oe=utf-8&client=firefox-a&ll=33.883866,-118.410237&spn=0.011632,0.018625&z=16&iwloc=addr"
Carmine's,Restaurant,,,Italian,Pizza,"358 Graham Avenue, Brooklyn, NY 11211",718 782.9659 ,"http://www.google.com/maps?q=358+Graham+Ave,+Brooklyn,+NY+11211&ie=UTF8&z=17&ll=40.714989,-73.944329&spn=0.005489,0.013497&om=1&iwloc=addr"
Chai Home Kitchen,Restaurant,,,Thai,,"124 North 6th Street, Brooklyn, NY 11211",718 599.5889,"http://www.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=124+North+6th+Street,+Brooklyn,+NY+11211&sll=40.718851,-73.944962&sspn=0.007709,0.019312&ie=UTF8&ll=40.719046,-73.95303&spn=0.007709,0.019312&z=16&iwloc=addr"
Cheers,Restaurant,,,Thai,,"612 Metropolitan Avenue, Brooklyn, NY 11211",718.599.4311,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=+612+Metropolitan+Ave,+Brooklyn+NY+11211&sll=40.719388,-73.955884&sspn=0.007058,0.013819&ie=UTF8&ll=40.717257,-73.951356&spn=0.007058,0.013819&z=16&iwloc=addr"
Chimu,Restaurant,,,Peruvian,,"482 Union Ave, Brooklyn, NY 11211",718.349.1208,"http://maps.google.com/maps?f=q&hl=en&q=482+Union+Ave&sll=40.716992,-73.958819&sspn=0.023712,0.040169&ie=UTF8&z=15&om=1&iwloc=A"
Clem's,Bar,,,,,"264 Grand Street, Brooklyn, NY 11211",718.387.9617,"http://www.google.com/maps?q=264+Grand+St,+Brooklyn,+New+York+11211,+USA&ie=UTF8&z=16&om=1&iwloc=addr"
Club Europa,Bar,Music Venue,,,,"98-104 Meserole Avenue, Brooklyn, NY 11222",718.383.5723,"http://www.google.com/maps?q=98+Meserole+Ave,+Brooklyn,+New+York+11222,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Club Exit,Bar,Music Venue,,,,"149 Greenpoint Avenue, Brooklyn, NY 11222",718.349.6969,"http://www.google.com/maps?f=q&hl=en&q=149+Greenpoint+Ave.,+Brooklyn,+NY+11222&sll=40.726967,-73.953051&sspn=0.010993,0.019913&ie=UTF8&ll=40.729161,-73.953116&spn=0.010992,0.019913&z=16&iwloc=addr&om=1"
CoCo66,Bar,,,,,"66 Greenpoint Avenue, Brooklyn, NY 11222",718.389.1531,"http://www.google.com/maps?q=66+Greenpoint+Ave,+Brooklyn,+New+York+11222,+USA&ie=UTF8&z=16&om=1&iwloc=addr"
Cono O'Pescatore,Restaurant,,,Italian,Seafood,"301 Graham Avenue, Brooklyn, NY 11211",718.388.0168,"http://www.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=301+Graham+Avenue,+Brooklyn,+NY+11211&sll=40.719046,-73.95303&sspn=0.007709,0.019312&ie=UTF8&ll=40.714834,-73.949876&spn=0.007709,0.019312&z=16&iwloc=addr"
Cornichon,Restaurant,Bar,,French,,"251 Grand Street, Brooklyn, NY 11211",718.599.3840,http://maps.google.com/maps?hl=en&safe=off&client=firefox-a&q=251+Grand+Street+williamsburg+brooklyn&ie=UTF8&z=16&iwloc=addr
Cyn Lounge,Bar,,,,,"216 Bedford Avenue, Brooklyn, NY 11211",718.384.0100,"http://www.google.com/maps?q=216+Bedford+Ave,+Brooklyn,+New+York+11211,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
D.O.C. Wine Bar,Restaurant,Bar,,Italian,Tapas,"83 North 7th Street, Brooklyn, NY 11211",718.963.1925.,"http://maps.google.com/maps?f=q&hl=en&q=83+N.+7th+Street&sll=40.716992,-73.958819&sspn=0.022834,0.040169&ie=UTF8&z=15&ll=40.717697,-73.958802&spn=0.022834,0.040169&om=1&iwloc=A"
Daddy's,Bar,,,,,"437 Graham Avenue, Brooklyn, NY 11211",718.609.6388,"http://maps.google.com/maps?f=q&hl=en&q=437+Graham+Ave.,+Brooklyn,+NY+11211&sll=40.72103,-73.958373&sspn=0.010994,0.019205&layer=&ie=UTF8&z=16&ll=40.720998,-73.950863&spn=0.010994,0.019205&om=1&iwloc=addr"
Dante's,Restaurant,,,Southern,Comfort,"1 Hope Street, Brooklyn, NY 11211",718.599.1945.,http://maps.google.com/maps?q=1%20Hope%20Street%2C%20%20Brooklyn%20NY%2011211&ie=UTF-8&oe=utf-8&rls=org.mozilla:en-US:official&client=firefox-a&um=1&sa=N&tab=wl
Destefano's Steakhouse,Restaurant,,,Steakhouse,,"89 Conselyea Street, Brooklyn, NY 11211",718.384.2836,"http://maps.google.com/maps?q=189+Conselyea+St,+Brooklyn,+NY+11211,+USA&sa=X&oi=map&ct=title"
Diner,Restaurant,,,American,,"85 Broadway, Brooklyn, NY 11211",718.486.3077,"http://maps.google.com/maps?f=q&hl=en&q=85+Broadway,+Brooklyn,+New+York+11211&ie=UTF8&z=15&om=1&iwloc=addr"
Divine Follie,Restaurant,,,Italian,,"929 Manhattan Avenue, Brooklyn, NY 11222",718.389.6770,"http://maps.google.com/maps?f=q&hl=en&q=929+Manhattan+Avenue&sll=40.716992,-73.958819&sspn=0.023712,0.040169&ie=UTF8&z=14&ll=40.72612,-73.958845&spn=0.047418,0.080338&om=1&iwloc=A"
Dokebi,Restaurant,,,Korean BBQ,,"199 Grand Street, Brooklyn NY 11211",718.782.1424,"http://maps.google.com/maps?q=199+Grand+St.,+Brooklyn,+NY+11211+&ie=UTF8&oe=UTF-8&client=firefox-a&z=15&om=1&iwloc=addr"
Don Pedro's,Restaurant,Bar,Music Venue,Latin American,,"90 Manhattan Avenue, Brooklyn, NY 11206",718.218.6914,"http://maps.google.com/maps?q=90+Manhattan+Ave,+Brooklyn,+NY+11206,+USA&sa=X&oi=map&ct=title"
Dressler,Restaurant,,,American,,"149 Broadway, Brooklyn, NY 11211",718.384.6343,"http://maps.google.com/maps?f=q&hl=en&q=149+Broadway,+Brooklyn,+NY+11211&ie=UTF8&z=15&ll=40.710378,-73.963308&spn=0.022836,0.054245&om=1&iwloc=addr"
Driggs Pizzeria and Trattoria,Restaurant,,,Pizzeria,,"558 Driggs Avenue, Brooklyn, NY 11211",718.782.4826,"http://maps.google.com/maps?q=558+Driggs+Ave,+Brooklyn+11211&ie=UTF8&oe=utf-8&client=firefox-a&z=16&g=558+Driggs+Ave,+Brooklyn+11211&iwloc=addr"
Duckduck,Bar,,,,,"153 Montrose Avenue, Brooklyn, NY 11206",n/a,"http://www.google.com/maps?q=153+Montrose+Ave,+Brooklyn,+New+York+11206,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Dumont,Restaurant,,,American,Comfort,"432 Union Avenue, Brooklyn, NY 11211",718.486.7717,"http://www.google.com/maps?q=432+Union+Ave,+Brooklyn,+NY+11211,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Dumont Burger,Restaurant,,,American,Comfort,"314 Bedford Avenue, Brooklyn, NY 11211",718.384.6128,http://maps.google.com/maps?q=+314+Bedford+Ave+&ie=UTF8&oe=UTF-8&client=firefox-a&z=16&om=1&iwloc=A
East Met West,Restaurant,,,Chinese,,"752 Metropolitan Avenue, Brooklyn NY 11211",718.218.7777,"http://maps.google.com/maps?q=52+Metropolitan+Ave,+++Brooklyn+11211&ie=UTF8&oe=UTF-8&client=firefox-a&z=15&om=1&iwloc=addr"
East River Bar,Bar,Music Venue,,,,"97 South 6th Street, Brooklyn, NY 11211",718.302.0511,"http://www.google.com/maps?q=97+S+6th+St,+Brooklyn,+New+York+11211,+USA&sa=X&oi=map&ct=title"
Egg,Restaurant,,,Brunch,Comfort,"135a North 5th Street, Brooklyn, NY 11211",718.302.5151,"http://www.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=135a+North+5th+Street,+Brooklyn,+NY+11211&sll=40.714834,-73.949876&sspn=0.007709,0.019312&ie=UTF8&ll=40.718233,-73.952644&spn=0.007709,0.019312&z=16&iwloc=addr"
El Loco Burrito,Restaurant,,,Mexican,,"345 Graham Avenue, Brooklyn, NY 11211",718.388.8215,"http://maps.google.com/maps?hl=en&safe=off&client=firefox-a&q=el+loco+burrito&near=Brooklyn,+New+York&fb=1&cid=40714806,-73944429,10377199074783170553&li=lmd&ie=UTF8&ll=40.714997,-73.944426&spn=0.01968,0.036478&z=15&iwloc=A&om=1"
El Moderno,Restaurant,,,Mexican,,"519 Metropolitan Avenue, Brooklyn, NY 11211",718.384.6429,"http://maps.google.com/maps?q=519+Metropolitan+Ave,+Brooklyn,+NY+11211,+USA&sa=X&oi=map&ct=title"
Ella Cafe,Restaurant,,,American,Coffee,"177 Bedford Avenue, Brooklyn, NY 11211",718.218.8079,"http://maps.google.com/maps?q=177+Bedford+Ave,+Brooklyn,+NY+11211,+USA&sa=X&oi=map&ct=title"
Elote,Restaurant,,,Mexican,Southwestern,"366 Union Avenue, Brooklyn, NY 11211",718.599.2655,"http://www.google.com/maps?q=366+Union+Ave,+Brooklyn,+NY+11211,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Endless Summer Taco Truck,Restaurant,,,Mexican,,"199 Bedford Avenue, Brooklyn, NY 11211",n/a,"http://maps.google.com/maps?f=q&source=s_q&hl=en&q=199+Bedford+Ave,+Brooklyn,+Kings,+New+York+11211&sll=40.71729,-73.95833&sspn=0,359.980624&gl=us&ie=UTF8&cd=1&geocode=FdRLbQIdQnyX-w&split=0&ll=40.718672,-73.95833&spn=0.007709,0.019376&z=16&iwloc=addr"
Enid's,Restaurant,Bar,,Brunch,,"560 Manhattan Avenue, Brooklyn, NY",718.349.3859,"http://maps.google.com/maps?q=560+Manhattan+Ave.&ie=UTF8&oe=UTF-8&client=firefox-a&z=15&ll=40.721697,-73.958802&spn=0.021922,0.040169&om=1&iwloc=C"
Fada,Restaurant,,,French,,"530 Driggs Avenue, Brooklyn, NY 11211",718.388.6607,"http://maps.google.com/maps?q=530+Driggs+Avenue&ie=UTF8&oe=utf-8&client=firefox-a&ll=40.719388,-73.955884&spn=0.007058,0.013819&z=16&iwloc=addr"
Falafel Chula,Restaurant,,,Middle Eastern,,"436 Union Avenue, Brooklyn, NY 11211",718.387.0303,"http://www.google.com/maps?q=436+Union+Ave,+Brooklyn,+NY+11211,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Fanny,Restaurant,,,American,,"425 Graham Avenue, Brooklyn, NY 11211",718.389.2060,http://maps.google.com/maps?q=425+Graham+Avenue&ie=UTF8&oe=UTF-8&client=firefox-a&z=15&om=1
Fette Sau,Restaurant,,,BBQ,,"354 Metropolitan Avenue, Brooklyn, NY 11211",718.963.3404,http://maps.google.com/maps?ie=UTF-8&oe=UTF-8&hl=en&tab=wl&q=
Fiore,Restaurant,,,Italian,,"284 Grand Street, Brooklyn, NY 11211 ",718.782.8222,"http://maps.google.com/maps?q=284+Grand+St,+Brooklyn,+NY+11211,+USA&sa=X&oi=map&ct=title"
Food Swings,Restaurant,,,Vegan,,"295 Grand Street, Brooklyn, NY 11211",718.387.1919,http://maps.google.com/maps?q=295+Grand+Street&ie=UTF8&oe=UTF-8&client=firefox-a&z=15&om=1
Fornino,Restaurant,,,Pizza,,"187 Bedford Avenue, Brooklyn, NY 11211",718.384.6004,"http://www.google.com/maps?q=187+Bedford+Ave,+Brooklyn,+NY+11211,+USA&ie=UTF8&om=1&z=16&iwloc=addr"
Fortunato Brothers,Restaurant,,,Italian,Bakery,"289 Manhattan Avenue, Brooklyn, NY 11211",718.387.2281,"http://maps.google.com/maps?ie=UTF8&oe=utf-8&client=firefox-a&q=289+Manhattan+Ave,+Brooklyn,+NY+11211,+USA&ll=40.713972,-73.945971&spn=0.010133,0.018625&t=h&z=16&iwloc=addr"
Fortune Cookies,Restaurant,,,Chinese,,"611 Manhattan Avenue, Brooklyn, NY 11222",718 389.7103,"http://www.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=611+Manhattan+Avenue,+Brooklyn,+NY+11222&sll=40.72482,-73.952236&sspn=0.007708,0.019312&ie=UTF8&ll=40.72482,-73.951421&spn=0.007708,0.019312&z=16&iwloc=addr"
Fratelli Brick Pizza Joint,Restaurant,,,Pizza,,"159 Grand Street, Brooklyn, NY 11211",718.599.5600,"http://www.google.com/maps?q=159+Grand+St,+Brooklyn,+NY+11211,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Frost,Restaurant,,,Italian,Seafood,"193 Frost Street, Brooklyn, NY 11211",718.389.3347 ,http://maps.google.com/maps?q=193%20Frost%20Street%2C%20Brooklyn%20NY%2011211&ie=UTF-8&oe=UTF-8&client=firefox-a&rls=org.mozilla:en-US:official&sa=N&tab=wl
Garden Grill,Restaurant,,,Diner,Comfort,"318 Graham Avenue, Brooklyn, NY 11211",718.384.8668,"http://www.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=318+Graham+Avenue,+Brooklyn,+NY+11211&sll=40.72482,-73.951421&sspn=0.007708,0.019312&ie=UTF8&ll=40.714883,-73.94419&spn=0.007709,0.019312&z=16&iwloc=addr"
Giando On The Water,Restaurant,,,Italian,Seafood,"412 Kent Avenue, Brooklyn, NY 11211",718 387.7000,"http://maps.google.com/maps?q=412+Kent+Avenue,+Brooklyn,+NY+11211&ie=UTF8&oe=UTF-8&client=firefox-a&z=15&om=1&iwloc=addr"
Gimme! Coffee,Restaurant,,,Coffee,,"495 Lorimer Street, Brooklyn, NY 11211",718.388.7771,"http://www.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=495+Lorimer+St.+brooklyn&sll=37.0625,-95.677068&sspn=33.02306,79.365234&ie=UTF8&ll=40.712785,-73.949018&spn=0.007709,0.019376&z=16&iwloc=addr"
Grand Morelos Diner & Bakery,Restaurant,,,Diner,Bakery,"727 Grand Street, Brooklyn, NY 11211 ",718.218.9441 ,"http://www.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=727+Grand+Street,+Brooklyn,+NY+11211+&sll=40.714883,-73.94419&sspn=0.007709,0.019312&ie=UTF8&ll=40.713061,-73.943846&spn=0.007709,0.019312&z=16&iwloc=addr"
Harefield Road,Bar,Music Venue,,,,"769 Metropolitan Avenue, Brooklyn, NY 11211",718.388.6870,"http://www.google.com/maps?q=769+Metropolitan+Ave,+Brooklyn,+New+York+11211,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Hope Lounge,Bar,,,,,"10 Hope Street, Brooklyn NY 11211",718.218.7191,"http://www.google.com/maps?q=10+Hope+St,+Brooklyn,+NY+11211,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Hotel Delmano,Bar,,,,,"82 Berry Street, Brooklyn NY 11211",718.387.1945,"http://maps.google.com/maps?q=82+Berry+St,+Brooklyn,+NY+11211,+USA&sa=X&oi=map&ct=title"
Huckleberry Bar,Restaurant,Bar,,Sandwiches,,"588 Grand Street, Brooklyn, NY 11211",718.218.8555,"http://maps.google.com/maps?q=588+Grand+St,+Brooklyn,+NY+11211,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Hugs,Bar,,,,,"108 N. 6th Street, Brooklyn, NY 11211",718.599.5959,"http://maps.google.com/maps?q=108+N.+6th+St.,+Brooklyn,+NY+11211&ie=UTF8&oe=utf-8&client=firefox-a&ll=40.719599,-73.960133&spn=0.007595,0.016394&z=16&g=108+N.+6th+St.,+Brooklyn,+NY+11211&iwloc=addr"
Il Passatore,Restaurant,,,Italian,,"14 Bushwick Avenue, Brooklyn, NY 11211",718.963.3100,http://maps.google.com/maps?q=4+Bushwick+Avenue+&ie=UTF-8&oe=utf-8&rls=org.mozilla:en-US:official&client=firefox-a&um=1&sa=N&tab=wl
Iona,Bar,,,,,"180 Grand Street, Brooklyn NY 11211 ",718.384.5008,"http://www.google.com/maps?q=180+Grand+St,+Brooklyn,+New+York+11211,+USA&sa=X&oi=map&ct=title"
Jimmy's Diner,Restaurant,,,Southern Comfort,,"577 Union Avenue, Brooklyn, NY 11211",718.218.7174,"http://www.google.com/maps?q=577+Union+Ave,+Brooklyn,+New+York+11211,+USA&ie=UTF8&z=16&iwloc=addr&om=1"
Joe's Busy Corner,Restaurant,,,Italian,,"552 Driggs Avenue, Brooklyn, NY 11211",718.388.6372,"http://maps.google.com/maps?f=q&hl=en&q=552+Driggs+Ave,+++Brooklyn+11211&ie=UTF8&z=15&ll=40.717209,-73.956442&spn=0.023712,0.054245&om=1&iwloc=addr"
Juliette,Restaurant,,,French,,"135 North 5th Street, Brooklyn, NY 11211",718.388.9222,"http://maps.google.com/maps?f=q&hl=en&q=135+N+5th+St,+++Brooklyn+11211&ie=UTF8&z=15&ll=40.717046,-73.959188&spn=0.022834,0.054245&om=1&iwloc=addr"
K & M,Bar,,,,,"225 North 8th Street, Brooklyn, NY 11211",718.388.3088,http://maps.google.com/maps?q=225%20North%208th%20St.%2C%20Brooklyn%2C%20NY%2011211&ie=UTF-8&oe=UTF-8&aq=t&rls=org.mozilla:en-US:official&client=firefox-a&um=1&sa=N&tab=wl
Kam Sing,Restaurant,,,Chinese,,"172 Grand Street, Brooklyn, NY 11211",718.782.7596,"http://www.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=172+Grand+Street,+Brooklyn,+NY+11211&sll=40.734202,-73.954661&sspn=0.007707,0.019312&ie=UTF8&ll=40.715875,-73.96127&spn=0.007709,0.019312&z=16&iwloc=addr"
Kasia's Restaurant,Restaurant,,,Polish,Diner,"146 Bedford Avenue, Brooklyn, NY 11211 ",718 387.8780,"http://maps.google.com/maps?q=146+Bedford+Ave.,+Brooklyn,+NY+11211&ie=UTF8&oe=UTF-8&client=firefox-a&z=15&om=1&iwloc=addr"
